id;name;phone;address;active;created_by;created_date;last_modified_by;last_modified_date
1;total heartfelt;(923)343-94-59;bah pfft;true;flawed;2026-01-28T23:12:19;refute kettledrum;2026-01-28T23:44:04
2;yearningly embed duh;(992)934-53-60;obstruct er pasta;false;technician nucleotidase;2026-01-28T12:48:01;mmm;2026-01-29T07:56:46
3;and papa;(930)227-16-33;yet per but;true;where obnoxiously;2026-01-28T15:09:59;er boohoo;2026-01-29T03:26:48
4;meanwhile persecute;(981)956-88-86;lobster splay nor;true;gee;2026-01-28T17:35:53;likely sleepy inside;2026-01-28T16:10:46
5;ah in furthermore;(975)737-43-51;yet ack;true;heighten buck;2026-01-29T05:05:22;dredger zowie;2026-01-28T12:21:11
6;amidst;(912)925-53-17;amid skyline;false;until winding developmental;2026-01-29T08:41:22;consistency fooey reporter;2026-01-28T14:22:46
7;woot;(947)905-79-23;whose;false;doodle;2026-01-28T12:06:38;oh so bourgeoisie;2026-01-28T17:30:23
8;affectionate frantically whenever;(941)322-10-29;that glass;true;antique hmph amongst;2026-01-28T13:07:05;oh bewail;2026-01-29T05:56:34
9;gee hard-to-find upon;(952)957-76-27;trench;false;woot dally among;2026-01-28T15:43:55;gadzooks furthermore dishonor;2026-01-28T23:11:49
10;finally;(945)497-44-31;duh why;false;forgo;2026-01-29T01:34:37;outset though;2026-01-28T14:26:19
